pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
Qual idioma é também chamado de farsi?;3;Persa;Árabe;Hindi;-;N
Em que cidade Santos Dumont voou com o 14-Bis pela primeira vez?;3;Paris;Roma;Londres;-;213
Qual era o nome da imperatriz esposa do imperador D. Pedro II?;3;Teresa Cristina;Maria Leopoldina;Carlota Joaquina;-;N
Qual fruta é ressecada para se tornar uma ameixa seca?;3;Ameixa;Maçã;Melão;-;N
Quem corresponde a Zeus na mitologia romana?;3;Júpiter;Marte;Netuno;-;N
"O que significa a expressão em latim ""casus belli""?";3;Ocasião para a guerra;Intenção de prejudicar;Ocasião para aliança;-;N
A partir de 1º de janeiro de que ano entrou em vigor o Novo Acordo Ortográfico?;4;2009;2010;2007;2012;N
Qual atriz fazia o par romântico do Deadpool no filme homônimo?;3;Morena Baccarin;Halle Berry;Gal Gadot;-;N
Na Finlândia, outra língua tem o status de oficial tanto quanto o finlandês. Qual?;3;Sueco;Norueguês;Russo;-;N
No universo da eletricidade, em que unidade se mede a indutância?;4;Henry;Tesla;Faraday;Ohm;N
Qual é a capital do Equador?;3;Quito;Lima;Santiago;-;N
Qual país é o maior produtor de filmes em questão de quantidade?;3;Índia;Estados Unidos;Coreia do Sul;-;N
Qual dessas figuras políticas laureadas com o Prêmio Nobel da Paz foi assassinada?;3;Anwar Sadat;Shimon Peres;Yasser Arafat;-;N
Qual destes fenótipos não é de um gene recessivo?;3;Calvície;Ruivo;Canhoto;-;N
Qual destes formatos de papel é maior?;3;A4;A5;A6;-;N
Quantos quilates tem o ouro puro?;3;24 quilates;18 quilates;28 quilates;-;N
Quem venceu o campeonato de pilotos da Fórmula 1 em 2000?;3;Michael Schumacher;Mika Häkkinen;Jacques Villeneuve;-;N
Qual revolucionário soviético foi exilado e morto no México a mando de Stálin?;3;Leon Trótski;Leon Tolstói;Vladimir Lênin;-;N
"Qual estilista criou o famoso estilo ""New Look"", lançado após a Segunda Guerra Mundial?";3;Christian Dior;Ives Saint-Laurent;Coco Chanel;-;N
"Qual é a tradução literal do famoso cabaré parisiense ""Moulin Rouge""?";3;Moinho Vermelho;Roda Vermelha;Amor em Vermelho;-;N
Qual destas temperaturas em Kelvin é uma temperatura normal do corpo humano?;4;309,75;322,55;300,85;316,25;N
Desde 2011, qual é a única distribuidora de pneus da Fórmula 1?;3;Pirelli;Bridgestone;Michelin;-;N
"O que significa ""Prego"" traduzido da língua italiana?";3;De nada;Por favor;Com licença;-;N
Em que cidade podemos visitar as obras de Antônio Francisco Lisboa, o Aleijadinho?;3;Ouro Preto;São Sebastião do Paraíso;Ipatinga;-;N
Em que país está localizada a antiga cidade de Troia?;3;Turquia;Grécia;Itália;-;N
A ilha da Tasmânia é parte de qual país?;3;Austrália;Indonésia;Nova Zelândia;-;N
Qual país pôs fim ao seu regime comunista matando no Natal de 1989 seu ditador Nicolae Ceausescu?;3;Romênia;Tchecoslováquia;Hungria;-;N
Por qual filme Fernanda Montenegro foi indicada ao Oscar de melhor atriz?;3;Central do Brasil;O Auto da Compadecida;Cidade de Deus;-;N
Qual desses tipos de voz é a voz aguda masculina?;3;Tenor;Soprano;Barítono;-;N
A conquista do tetra em 1994 pôs fim a um período de quantos anos do Brasil sem conquistar uma Copa do Mundo?;3;24 anos;20 anos;28 anos;-;N
Quantas casas tem um tabuleiro de xadrez?;3;64;49;81;-;N
Qual cidade é a capital do Suriname?;3;Paramaribo;Madras;Gaborone;-;N
Qual destas pessoas criou a empresa de automóveis Ford Motors?;3;Henry Ford;John Ford;Peter Ford;-;N
Qual instrumento é utilizado para medir a tensão elétrica?;3;Voltímetro;Amperímetro;Ohmímetro;-;N
Em que período se costuma celebrar o Ano Novo Judaico, o Rosh Hashaná?;3;Setembro-Outubro;Janeiro-Fevereiro;Junho-Julho;-;N
Qual destas palavras significa um grupo de ilhas?;3;Arquipélago;Península;Istmo;-;N
Quando chegou às Américas, Cristóvão Colombo navegava sob a bandeira de qual país?;3;Espanha;Inglaterra;Itália;-;N
Quem cortou os cabelos do herói bíblico Sansão, tirando dele seu gigantesco poder?;4;Dalila;Salomé;Judite;Ester;N
Qual destes países da América Latina já foi território brasileiro?;3;Uruguai;Paraguai;Bolívia;-;N
Qual destes tipos de queijo possui buracos?;3;Suíço;Rockford;Cheddar;-;N
Quem apresentava o programa Roleta Russa na RecordTV em 2002 e 2003?;4;Milton Neves;Gilberto Barros;Márcio Garcia;Otaviano Costa;N
Índia, China ou Coreia. O mandarim é a língua oficial de que país?;5;B;China;China;China;N
1779, 1789 ou 1799. Em que ano ocorreu a Revolução Francesa?;5;B;1789;1789;1789;N
Piauí, Pernambuco, Alagoas. Em que estado nasceu o youtuber Whindersson Nunes?;5;A;Piauí;Piauí;Piauí;N
Páris, Menelau, Heitor. Quem matou Aquiles, personagem da mitologia grega?;5;A;Páris;Páris;Páris;N
Mil, dez mil, cem mil. Quantos metros quadrados tem um hectare?;5;B;Dez mil;Dez mil;Dez mil;N
Copenhague, Helsinque, Oslo. Qual a capital da Finlândia?;5;B;Helsinque;Helsinque;Helsinque;N
Marrocos, Egito, Etiópia. Qual país é conhecido por suas pirâmides?;5;B;Egito;Egito;Egito;N
"Torre, Bispo, Cavalo. Qual peça de xadrez se move em forma de ""L""?";5;C;Cavalo;Cavalo;Cavalo;N
"Hexágono, Octágono, Decágono. Qual é a forma geométrica da placa de ""PARE""?";5;B;Octágono;Octógono;Octagono;N
Italiano, Latim, Romano. Qual era o idioma falado no antigo Império Romano?;5;B;Latim;Latim;Latim;N
Qual país era chamado de Paquistão Oriental até 1971, quando conseguiu sua independência do próprio Paquistão?;3;Bangladesh;Iraque;Afeganistão;-;N
Qual destes romances não foi escrito por Machado de Assis?;3;O Guarani;Dom Casmurro;Quincas Borba;-;N
O que é um Stradivarius?;3;Violino;Diamante;Quadro;-;N
Em que mar deságua o Rio Yangtzé?;3;Mar da China Oriental;Mar do Japão;Mar Negro;-;N
"Quem criou a expressão ""Cortina de Ferro""?";3;Winston Churchill;Josef Stálin;John Kennedy;-;N
"Quem fez o papel de Eva Perón no filme-musical ""Evita""?";3;Madonna;Jennifer Lopez;Sharon Stone;-;N
Em que país a vaca é considerada um animal sagrado?;3;Índia;China;Coreia;-;N
Em que país Ayrton Senna venceu seu primeiro Grande Prêmio de Fórmula 1?;3;Portugal;Itália;Espanha;-;N
"Qual animal australiano era chamado anteriormente pelos americanos de ""paradoxus""?";3;Ornitorrinco;Albatroz;Canguru;-;N
Para qual clube italiano Kaká se transferiu, saindo do São Paulo?;3;Milan;Inter de Milão;Juventus;-;N
Com que idade Mozart escreveu sua primeira obra?;3;5 anos;10 anos;15 anos;-;N
"Em qual aparelho de ginástica é possível fazer a figura da ""cruz""?";3;Argolas;Barra fixa;Barras paralelas;-;N
O tango é original de que país?;3;Argentina;Uruguai;Espanha;-;N
Qual das seguintes terminologias de incidentes nucleares dos Estados Unidos é a mais grave?;3;Gigante Fadado;Flecha Quebrada;Espada Sem Corte;-;N
Em que mar deságua o Rio Danúbio, que passa por vários países da Europa Central?;3;Mar Negro;Mar Báltico;Mar Adriático;-;N
Como se chama a casa de neve feita pelos esquimós?;3;Iglu;Oca;Taba;-;N
Qual destes monumentos tem altura maior?;3;Torre Eiffel;Pirâmide de Quéops;Basílica de São Pedro;-;N
Qual é a capital do Quirquistão?;3;Bishkek;Tashkent;Asgabate;-;N
Como se chama a arte de adivinhar o futuro lendo as linhas da mão?;3;Quiromancia;Quirologia;Quiropraxia;-;N
Quantos quilômetros de comprimento possui o canal de Suez?;3;193 km;153 km;173 km;-;N
"Quem apresentou o gameshow ""Um contra cem"" no SBT, de 2009 a 2010?";3;Roberto Justus;Celso Portiolli;Gugu Liberato;-;N
"O que significa ""anedota"" traduzida do grego?";3;Impublicável;Engraçado;Fábula;-;N
Como se chama a estrela mais brilhante da constelação de Escorpião?;3;Antares;Milo;Al Niyat;-;N
Que nome se dá às cantigas trovadorescas que apresentavam, em geral, uma crítica indireta e irônica?;3;Cantigas de Escárnio;Cantigas de Maldizer;Cantigas de Amigo;-;N
Em que país foi inventado o castelo inglês?;3;Inglaterra;França;Suíça;-;N
Santa Maria, Pinta e Nina eram caravelas de qual navegador?;3;Cristóvão Colombo;Américo Vespúcio;Vasco da Gama;-;N
Qual destes países não cobra Imposto de Renda?;3;Barein;Omã;Kuwait;-;N
"Qual rei francês era conhecido como ""O Rei-Sol""?";3;Luís XIV;Luís XV;Luís XVI;-;N
"Stephen King, autor do clássico ""It: A Coisa"", escreveu 6 romances sob qual pseudônimo?";3;Richard Bachman;Robert Galbraith;Bill Peabody;-;N
Qual é o sinônimo de fraude?;3;Falcatrua;Falha;Perdão;-;N
Qual destas patentes da aeronáutica é a maior?;3;Tenente-brigadeiro;Major-brigadeiro;Brigadeiro;-;N
Qual atriz possui o recorde de mais estatuetas do Oscar de Melhor Atriz?;3;Katharine Hepburn;Audrey Hepburn;Elizabeth Taylor;-;N
Qual estrela na Ursa Maior faz uma estrela dupla com Mizar?;3;Alcor;Megrez;Benetnasch;-;N
Qual é a capital da Flórida?;3;Tallahassee;Miami;Orlando;-;N
Qual piloto igualou o recorde de Michael Schumacher, vencendo 7 campeonatos na Fórmula 1?;3;Lewis Hamilton;Juan Manuel Fangio;Sebastian Vettel;-;N
Qual ator ganhou o Oscar de Melhor Ator pelo filme Bohemian Rhapsody?;3;Rami Malek;Bradley Cooper;Adam Driver;-;N
Qual destes não foi um dos 12 trabalhos de Hércules?;3;Matar o Minotauro;Matar o leão de Nemeia;Obter o cinto de Hipólito;-;N
Qual é a moeda da Polônia?;3;Zloty;Marco;Florim;-;N
Qual animal é o emblema da família de sistemas operacionais Linux?;3;Pinguim;Tigre;Guepardo;-;N
Como se chamava antigamente o estreito de Gibraltar?;3;Colunas de Hércules;Estreito de Cádiz;Estreito de Tânger;-;N
Qual destes metais tem a maior densidade?;3;Platina;Prata;Ouro;-;N
Qual rei da Inglaterra iniciou a Reforma Anglicana?;4;Henrique VIII;Henrique VII;Eduardo VI;Ricardo III;N
Quantos meses possuía o antigo calendário romano?;3;10;12;14;-;N
A qual estado brasileiro pertence a ilha de Fernando de Noronha?;3;Pernambuco;Rio Grande do Norte;Bahia;-;N
Quem foi a primeira pessoa programadora da história?;4;Ada Lovelace;Blaise Pascal;Dennis Ritchie;Linus Torvalds;N
Qual animal está estampado na nota de 100 reais?;3;Garoupa;Lobo-guará;Onça-pintada;-;N
Qual é a sigla do estado de Roraima?;3;RR;RO;RM;-;N
Salvador, Rio de Janeiro, São Paulo. Qual era a capital do Brasil até a construção de Brasília?;5;B;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;N
Qual é a parte proteica da farinha de trigo?;3;Glúten;Farelo;Amido;-;N
A ilha de Páscoa pertence à costa de qual continente?;3;América do Sul;Ásia;África;-;N
Qual destes filmes de Star Wars/Guerra nas Estrelas foi o primeiro a ser lançado?;3;Uma Nova Esperança;O Império Contra-Ataca;O Retorno de Jedi;-;N
Como se chamam as pessoas que invadem a proteção de softwares pagos?;3;Crackers;Spammers;Hackers;-;N
Qual destas palavras não é o nome de uma função trigonométrica?;3;Coelipse;Cotangente;Cossecante;-;N
Guilherme Tell é um herói lendário de qual povo?;3;Suíça;Áustria;Alemanha;-;N
Qual destas perguntas pode ser respondida com um advérbio?;3;Como?;O quê?;Por quê?;-;N
Quem é o filho da filha da mãe de seu pai?;3;Primo;Sobrinho;Tio;-;N
Como se chama a série de naves espaciais americanas projetadas para levar seus astronautas à Lua?;3;Apollo;Atlantis;Challenger;-;N
Em que ano foi fundada a cidade de São Paulo?;4;1554;1602;1633;1506;N
Qual é a capital do Mato Grosso do Sul?;3;Campo Grande;Cuiabá;Porto Velho;-;N
Em que esporte os capitães não jogam, apenas dirigem o jogo?;3;Tênis de quadra;Hóquei;Polo Aquático;-;N
Qual presidente americano autorizou os bombardeamentos atômicos sobre Hiroshima e Nagasaki, em 1945?;4;Harry Truman;Richard Nixon;Franklin Roosevelt;George Washington;N
Qual é a última letra do alfabeto hebraico?;4;Tav;Shin;Vav;Yom;N
Na Bíblia Sagrada, em qual destes sonhos José interpretou que a pessoa acabaria enforcada?;3;Sonho do padeiro-chefe;Sonho do copeiro-chefe;Sonho de Potifar;-;N
Um piromaníaco tem atração irresistível a quê?;3;Ao fogo;A piratas;À escrita;-;N
Qual é a religião predominante na Tailândia?;3;Budismo;Cristianismo;Hinduísmo;-;N
Quanto tempo, aproximadamente, a Terra leva para fazer uma volta completa ao redor do Sol?;3;365 dias;4 semanas;24 horas;-;N
Qual especialista você não precisa consultar para obter uma carteira de motorista?;3;Laringologista;Oftalmologista;Neurologista;-;N
Em que cidade está localizada a sede da ONU?;3;Nova Iorque;Genebra;Haia;-;N
Qual foi o primeiro presidente da Ditadura Militar no Brasil, iniciada em 1964?;4;Castelo Branco;Costa e Silva;Geisel;Garrastazu Médici;N
"Em que cidade se passam os eventos do livro ""O Primo Basílio"", de Eça de Queirós?";4;Lisboa;Rio de Janeiro;São Paulo;Porto;N
Para passar na Prova Teórica do DETRAN de Legislação, quantos % de respostas certas você deve obter?;4;70 %;60 %;80 %;50 %;N
Qual é a residência oficial do Presidente da República?;4;Palácio da Alvorada;Palácio do Jaburu;Palácio do Catete;Palácio Itamaraty;N
Em que cidade está localizado o museu do Prado?;4;Madri;Sevilha;Cidade do México;Barcelona;N
O que mede a escala Fujita?;3;Intensidade dos tornados;Quantidade de chuva;Intensidade sísmica;-;N
"O que significa ""inóxio""?";3;Inofensivo;Inocente;Indolor;-;N
Qual destas batalhas da Segunda Guerra Mundial ficou marcada pela presença da Força Expedicionária Brasileira?;4;Batalha de Monte Castello;Batalha de Monte Cassino;Batalha de Arnhem;Batalha de San Marino;N
Qual destas alternativas não corresponde a uma tribo indígena?;4;Caçapós;Tapirapés;Caiapós;Tuparis;N
Como se chama uma longa peça musical tocada por toda a orquestra?;4;Sinfonia;Concerto;Sonata;Ária;N
Jair Bolsonaro ganhou as eleições presidenciais de 2018 disputando por qual partido?;3;PSL;PL;Progressistas;-;N
Com que país a Alemanha faz fronteira ao norte?;4;Dinamarca;Bélgica;Itália;Polônia;N
Qual destes países teve a monarquia restaurada no meio do século XX?;4;Espanha;Dinamarca;Suécia;Países Baixos;N
Quantas luas possui o planeta Marte?;4;2 luas;1 lua;3 luas;4 luas;N
Em que país foi inventada a metodologia do 5S, que preza por um ambiente de trabalho limpo e organizado?;4;Japão;Estados Unidos;China;Inglaterra;N
Qual destes países não está na União Europeia?;4;Islândia;Irlanda;Grécia;Portugal;N
Qual é a moeda oficial da África do Sul?;4;Rand;Kwanza;Franco;Libra;N
No universo de Harry Potter, a qual casa pertencem os astutos, determinados e ambiciosos?;4;Sonserina;Grifinória;Corvinal;Lufa-Lufa;N
"Qual personagem de ""O Senhor dos Anéis"" é dono da icônica frase ""Você não vai passar""/""You shall not pass""?";4;Gandalf;Saruman;Frodo;Aragorn;N
"Qual ator interpreta Spock na série original ""Star Trek"" de 1966?";4;Leonard Nimoy;George Takei;William Shatner;DeForest Kelley;N
Qual país tem uma pantera negra no seu brasão de armas e no escudo da sua seleção de futebol?;4;Gabão;Níger;Malaui;Costa do Marfim;N
"Em ""Game of Thrones"", qual casa é conhecida por sempre pagar suas dívidas?";4;Lannister;Stark;Targaryen;Baratheon;N
"Na série de comédia americana ""The Office"", qual é o nome do chefe interpretado por Steve Carell?";4;Michael Scott;Dwight Schrute;Jim Halpert;David Brent;N
"Na série ""The Big Bang Theory"", qual ator interpreta o personagem Sheldon Cooper?";4;Jim Parsons;Kunal Nayyar;Johnny Galecki;Simon Helberg;N
Qual destes livros de Harry Potter, cronologicamente, é o mais recente?;4;O Enigma do Príncipe;O Prisioneiro de Azkaban;A Pedra Filosofal;O Cálice de Fogo;N
Quantos satélites naturais possui a Terra?;4;1 satélite;2 satélites;3 satélites;0 satélite;N
Qual ator interpreta Luke Skywalker no universo dos filmes de Star Wars?;3;Mark Hamill;Harrison Ford;Peter Mayhew;-;N
Como se chamava o último rei da Macedônia?;4;Perseu;Teseu;Proteus;Anteu;N
3! + 2! é igual a quanto?;4;8;6;5;1220;N
"Se o livro ""Fahrenheit 451"" de Ray Bradbury fosse escrito em Graus Celsius, como o nome do livro ficaria?";4;Celsius 232;Celsius 188;Celsius 275;Celsius 204;N
Por qual presidente foi decretado o Plano Cruzado, em 1986?;4;José Sarney;Fernando Collor de Melo;Fernando Henrique Cardoso;João Figueiredo;N
Qual destes números é divisível por 7?;4;84;47;177;97;N
"Qual humorista tem entre seus personagens o ""Advogado Paloma""?";4;Igor Guimarães;Diogo Defante;Thiago Ventura;Estevam Nabote;N
Em 1972, Bobby Fischer derrotou qual enxadrista soviético para se tornar campeão mundial de xadrez?;4;Boris Spassky;Anatoly Karpov;Tigran Petrosian;Mikhail Tal;N
Qual é o nome do cachorro do Cebolinha, da Turma da Mônica?;3;Floquinho;Bidu;Chovinista;-;N
Qual destas constelações não existe?;4;Cérbero;Pavão;Corvo;Águia;N
Em que dia é comemorado o Dia da Bandeira?;4;19 de novembro;29 de novembro;15 de novembro;19 de outubro;N
No universo de Jogos Vorazes, o Distrito 12 de Katniss Everdeen era responsável por que indústria?;4;Mineração;Agricultura;Madeira;Energia;N
Qual é a categoria do pokémon Charizard?;3;Fogo;Terra;Ar;-;N
Qual destas letras não é utilizada nos números romanos?;4;B;L;C;D;2134
George W. Bush foi o governador de qual estado americano?;4;Texas;Califórnia;Tennessee;Alabama;N
Qual destes minerais é o menos duro na escala de Mohs?;4;Gesso;Ortoclásio;Topázio;Quartzo;N
Em que estado nasceu o tenista Gustavo Kuerten?;3;Santa Catarina;Paraná;Rio Grande do Sul;-;N
Qual presidente dos Estados Unidos está estampado na nota de 1 dólar?;4;George Washington;Ulysses Grant;Abraham Lincoln;Franklin Roosevelt;N
"Quem escreveu o livro ""A Guerra Judaica""?";4;Flávio Josefo;Tito Lívio;Suetônio;Plutarco;N
Qual o nome da cirurgia para retirada de parte da mama?;4;Mastectomia;Citoscopia;Mamografia;Colostomia;N
Marcelo Fromer pertenceu a qual banda de rock?;4;Titãs;Skank;Paralamas;Barão Vermelho;N
"Qual destas estatuetas do Oscar NÃO ganhou o filme ""Parasita"", dirigido por Bong Joon-ho?";4;Melhor Direção de Arte;Melhor Filme;Melhor Filme Estrangeiro;Melhor Roteiro Original;N
O balé Bolshoi é originário de qual país?;4;Rússia;Polônia;Alemanha;Áustria;N
Em que faixa da Terra o peso do corpo é maior?;4;Nos polos;No equador;Nas latitudes médias;O mesmo em todo lugar;N
Qual é o nome do único rei da Inglaterra que foi executado?;4;Carlos;Jaime;Eduardo;Jorge;N
Qual rei da Inglaterra é o pai da mais longeva monarca britânica da história, rainha Elizabeth II?;3;Jorge VI;Eduardo VIII;Jorge V;-;N
A que estado brasileiro pertence a ilha de Marajó?;4;Pará;Amazonas;Amapá;Maranhão;N
Qual era o nome do serviço de inteligência da República Democrática Alemã, ou Alemanha Oriental?;4;STASI;MOSSAD;NSA;BND;N
Quantos gols o Rei Pelé marcou com a camisa da Seleção Brasileira, incluindo jogos oficiais e amistosos?;4;95 gols;150 gols;49 gols;1000 gols;N
Qual era a comida dos deuses do Olimpo?;4;Ambrosia;Mel;Olivas;Leite;N
Qual destes cantores serviu como motorista do exército?;4;Elvis Presley;Bob Dylan;Michael Jackson;Frank Sinatra;N
Qual pergunta, por definição, não requer uma resposta?;3;Retórica;Capciosa;Filosófica;-;N
A pleura é uma membrana responsável por facilitar os movimentos de qual órgão do corpo humano?;4;Pulmão;Rim;Estômago;Coração;N
"Contra qual país, na Copa de 1950, o Brasil sofreu o infame ""Maracanaço""?";4;Uruguai;Hungria;Alemanha;Argentina;N
Qual ditador cubano foi deposto por Fidel Castro?;4;Fulgencio Batista;Rafael Trujillo;Salvador Allende;Alfredo Stroessner;N
Bananas possuem grande quantidade de qual mineral?;3;Potássio;Ferro;Sódio;-;N
Qual destes códigos de resposta HTTP significa que a URL solicitada não foi encontrada?;3;404;501;200;-;N
Segundo a Bíblia, quantas concubinas tinha o rei Salomão?;4;300;400;500;600;N
No Texas Hold'em, qual destas mãos vale mais do que o full house?;4;Quadra;Dois pares;Straight;Flush;N
Qual destes é um antibiótico?;3;Penicilina;Paracetamol;Ibuprofeno;-;N
Como os antigos gregos falavam depreciativamente dos estrangeiros de língua estrangeira?;4;Bárbaros;Vândalos;Selvagens;Trogloditas;N
Qual é a moeda da República Popular da China?;4;Yuan;Rupia;Dong;Won;N
Como se chama o reino asiático localizado no Himalaia?;4;Butão;Mongólia;Camboja;Tibete;N
Qual é o produto mais exportado pelo Brasil?;4;Soja;Petróleo;Carne bovina;Minério de ferro;N
"O que é adicionado ao suco de tomate para fazer o coquetel ""Bloody Mary""?";4;Vodka;Rum;Gin;Whisky;N
Em que filme de Marilyn Monroe ocorre a famosa cena do vestido esvoaçante?;3;O Pecado Mora ao Lado;Quanto + Quente Melhor;Os Homens Pref. Loiras;-;N
O que acontece com a Lua durante um eclipse lunar total?;4;Muda de cor;Desaparece;Muda de forma;Muda de tamanho;N
Quanto tempo leva, aproximadamente para que a Lua faça uma revolução completa ao redor da Terra?;4;28 dias;1 dia;7 dias;35 dias;N
Qual tipo de trajetória a Terra faz ao redor do Sol?;4;Elipse;Circunferência;Parábola;Hipérbole;N
Qual destes cabos não é um cabo da Austrália?;4;Roca;Byron;York;Tasmânia;N
Quantas medalhas de ouro o Brasil conquistou nas Olimpíadas de Tóquio, em 2021?;4;7 medalhas;5 medalhas;10 medalhas;9 medalhas;N
De que pele são feitos os chapéus dos Guardas Reais Britânicos?;4;Urso;Raposa;Carneiro;Lobo;N
Qual empresa na Itália é a que mais fabrica carros populares?;4;Fiat;Alfa Romeo;Ferrari;Lamborghini;N
Washington D. C. é banhada por qual rio?;4;Potomac;Missouri;Hudson;Connecticut;N
"Quem voou na nave espacial ""Vostok-1"", marcando a primeira vez que um ser humano foi ao espaço?";4;Yuri Gagarin;Valentina Tereshkova;Andrian Nikolaev;Georgi Beregovoy;N
Em que país está localizado o Monte Vesúvio, que destruiu Pompeia?;4;Itália;França;Espanha;Grécia;N
O lago Titicaca, considerado berço da civilização inca, fica  na fronteira entre quais países?;4;Peru e Bolívia;Peru e Equador;Bolívia e Paraguai;Colômbia e Venezuela;N
Quem é considerado o introdutor do romantismo no Brasil?;4;Gonçalves de Magalhães;José de Alencar;Castro Alves;Álvares de Azevedo;N
"Qual é a origem da série de histórias em quadrinhos ""As Aventuras de Tintin""?";4;Bélgica;França;Estados Unidos;Inglaterra;N
"Na Bíblia Sagrada, o que significa o termo ""publicano""?";4;Coletor de impostos;Fariseu;Filho pródigo;Mendigo;N
"Qual cidade brasileira é conhecida como a ""Paris dos Trópicos""?";4;Manaus;Belém;Rio Branco;Fortaleza;N
Em que estado está localizada a foz do Rio Tietê?;3;São Paulo;Santa Catarina;Paraná;-;N
Qual foi o último planeta do Sistema Solar a ser descoberto?;3;Netuno;Mercúrio;Urano;-;N
Qual das seguintes religiões não é monoteísta, e sim politeísta?;3;Hinduísmo;Islamismo;Judaísmo;-;N
Qual fera mitológica renasce das próprias cinzas?;3;Fênix;Dragão;Golem;-;N
Qual destes números não é divisível por 3?;4;295;147;78;414;N
Quem foi ultrapassado na última curva do GP do Brasil de 2008 por Lewis Hamilton, confirmando o título do inglês?;4;Timo Glock;Mark Webber;Giancarlo Fisichella;Robert Kubica;N
Somente em um destes anos Ayrton Senna não foi campeão mundial de pilotos. Qual?;4;1989;1988;1990;1991;2134
Qual é a nacionalidade de Sérgio Pérez, companheiro de Max Verstappen na Red Bull desde 2021?;3;México;Espanha;Argentina;-;N
Qual foi a última equipe de Felipe Massa na Fórmula 1?;3;Williams;Ferrari;Sauber;-;N
Qual das seguintes medidas de comprimento é a menor?;4;Centímetro;Pé;Polegada;Jarda;N
O que estuda um selenólogo?;4;Lua;Sol;Buracos negros;Planetas distantes;N
Lotus, McLaren, Williams. Em que equipe Ayrton Senna foi tricampeão da Fórmula 1?;5;B;McLaren;McLaren;McLaren;N
Qual dos pilotos brasileiros campeões da Fórmula 1 nunca foi campeão de pilotos pela McLaren?;3;Nelson Piquet;Emerson Fittipaldi;Ayrton Senna;-;N
50, 100, 150. A Terra está a quantos milhões de quilômetros do Sol aproximadamente?;5;C;150;150;150;N
"Qual tipo de carro era usado na trilogia ""De Volta para o Futuro"" para que viajassem no tempo?";3;DeLorean;Chevrolet;Jaguar;-;N
Quais ilhas na costa da Argentina são controladas pelos britânicos?;4;Ilhas Malvinas;Ilhas Cook;Ilhas Galápagos;Ilhas Canárias;N
Qual metal está necessariamente presente no bronze?;4;Cobre;Ferro;Zinco;Alumínio;N
O Taiti pertence a qual país?;4;França;Reino Unido;Espanha;Estados Unidos;N
Reino Unido, França, Dinamarca. A Groenlândia pertence a qual país?;5;C;Dinamarca;Dinamarca;Dinamarca;N
Em que país está localizado o maior estádio de futebol do mundo?;4;Coreia do Norte;Brasil;Espanha;África do Sul;N
Por qual time de futebol Rogério Ceni jogou durante quase toda a carreira profissional?;4;São Paulo;Corinthians;Palmeiras;Santos;N
