pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar;Unnamed: 7
Em que século ocorreu o Cisma do Oriente, que dividiu a Igreja Católica Romana e a Igreja Ortodoxa?;4;Século XI;Século V;Século XI;Século XIV;N;
Qual destes livros do Novo Testamento está ordenado na frente dos outros?;4;Colossenses;I Timóteo;I Tessalonicenses;Hebreus;N;
Qual país recebeu a primeira missão jesuíta nas Américas no século XVI?;4;Brasil;Argentina;México;Peru;N;
Qual evento marca o início da Igreja Cristã segundo o Novo Testamento?;4;O Pentecostes;A crucificação de Jesus;Conversão de Constantino;Conversão de Paulo;N;
Em qual monte aconteceu a transfiguração de Jesus, segundo a tradição?;4;Monte Tabor;Monte das Oliveiras;Monte Moriá;Monte Sinai;N;
Qual destes livros do Antigo Testamento está ordenado na frente dos outros?;4;Amós;Jonas;Habacuque;Ageu;N;
Quem era o pai de Abraão?;4;Terá;Salomão;José;Matusalém;N;
Em que país dos tempos atuais nasceu Jan Hus, um dos precursores da Reforma Protestante?;4;Tchéquia;Sérvia;Polônia;Dinamarca;N;
Após a morte de Saul, contra quem Davi guerreou para tomar o trono de rei de Israel?;4;Isbosete;Abner;Mefibosete;Abinadabe;N;
"Em que ano foi lançada a música ""Preciso de Ti"", do grupo musical Diante do Trono?";4;2001;1997;2003;1999;N;
Qual é o primeiro rio citado dos Quatro Rios do Paraíso em Gênesis 2?;4;Pisom;Giom;Tigre;Eufrates;N;
Em que estado americano ocorreu o Avivamento de Asbury?;4;Kentucky;Califórnia;Virgínia;Michigan;N;
"Qual dos quatro evangelhos canônicos começa com a frase: ""No princípio era o Verbo""?";4;João;Marcos;Mateus;Lucas;N;-
Quantos livros da Bíblia foram confirmadamante escritos pelo Apóstolo Paulo?;4;13 livros;12 livros;16 livros;15 livros;N;
Segundo a Bíblia, qual profeta previu a cidade em que Jesus Cristo nasceria?;4;Miqueias;Ezequiel;Isaías;Jeremias;N;
"Quem disse a frase ""Eu sei que o meu redentor vive?""";4;Jó;Jesus;Moisés;Josué;N;
Qual é o nome do servo que Abraão enviou para buscar uma esposa para Isaque?;4;Eliézer;Gérson;Misael;Naor;N;
Quantos anos tinha Sara quando deu a luz a Isaque?;4;90 anos;80 anos;95 anos;100 anos;N;
"Em qual destas línguas não foi escrito ""Jesus de Nazaré, rei dos Judeus"" durante a crucificação de Jesus?";4;Aramaico;Latim;Hebraico;Grego;N;
Qual era a altura de Golias?;4;2,90 m;3,72 m;1,95 m;2,55 m;N;
Em que ano aconteceu o Concílio de Niceia?;4;325 d.C.;414 d.C.;178 d.C.;257 d.C.;N;
Como se chama quem nasce em Jerusalém?;4;Jerusalemita;Jerusalemense;Jerusalemiano;Jerusalemês;N;
Mefibosete, filho de Jônatas e neto de Saul, foi levado para qual destas cidades para ser protegido?;4;Lo-Debar;Amã;Jericó;Bet-Shemesh;N;
José, Benjamin, Issacar. Qual é o filho mais novo de Jacó?;5;B;Benjamin;Benjamin;Benjamin;N;
5, 6, 7. Quantas pontas tem a Estrela de Davi?;5;B;6;B;B;N;
Gênesis, Salmos, Mateus. Qual é o primeiro livro do Antigo Testamento?;5;A;Gênesis;-;-;N;
Moabe, Amom, Edom. Qual destes não foi filho de Ló?;5;C;-;-;-;N;
22, 23 ou 25. Quantos capítulos tem o livro de Apocalipse?;5;A;-;-;-;N;
Miguel, Gabriel ou Rafael. Qual arcanjo derrotou Lucífer segundo o livro de Apocalipse?;5;A;-;-;-;N;
Absalão, Jeroboão ou Roboão. Qual rei sucedeu a Salomão?;5;C;-;-;-;N;
Uzias, Acaz ou Manassés. Qual rei ofereceu seu filho como sacrifício a Moloque?;5;C;-;-;-;N;
Filemom, II João ou III João. Qual é o menor livro do Novo Testamento?;5;B;-;-;-;N;
Isaías, Jeremias ou Ezequiel. Quem profetizou no Vale dos Ossos Secos?;5;C;-;-;-;N;
Ezequiel, Isaías ou Jeremias. Quem era o Profeta Chorão?;5;C;-;-;-;N;
Amós, Jonas ou Habacuque. Qual destes livros do Velho Testamento está ordenado na frente dos outros?;5;A;-;-;-;N;
Tadeu, Jairo ou Malco. Quem teve a orelha cortada por Pedro e curada por Jesus?;5;C;-;-;-;N;
100, 200, 300. O perfume derramado em Jesus valia quantos denários?;5;C;-;-;-;N;
Marcos, Mateus, Lucas. Qual apóstolo de Jesus era um publicano?;5;B;Mateus;B;B;N;
Josafá, Josias, Jeoás. A qual rei de Judá Eliseu ordenou atirar flechas?;5;C;-;-;-;N;
Paulo, João, Desconhecido. Quem escreveu a carta aos Hebreus?;5;C;-;-;-;N;
Obadias, Naum ou Ageu. Qual é o menor livro do Velho Testamento?;5;A;-;-;-;N;
140, 150 ou 160. Quantos salmos a Bíblia tem no total?;5;B;-;-;-;N;
Adão, Abel ou Noé. Quem era o marido da mãe de Caim?;5;A;-;-;-;N;
Paulo, José ou Matias. Quem foi escolhido como apóstolo após a traição de Judas Iscariotes?;5;C;-;-;-;N;
1 mil, 2 mil ou 5 mil. Quantos estavam na multidão que Jesus alimentou com pães e peixes?;5;C;-;-;-;N;
Jael, Penina ou Ainoã. Quem matou Sísera com uma estaca na cabeça?;5;A;-;-;-;N;
Abinadabe, Uzá ou Beeri. Quem tocou na Arca da Aliança e imediatamente morreu?;5;B;-;-;-;N;
Levi, Judá ou Benjamim. Qual era a tribo de Moisés?;5;A;-;-;-;N;
Gideão, Sansão ou Abimeleque. Qual juiz de Israel se chamou também Jerubaal?;5;A;-;-;-;N;
Lo-Ami, Lo-Debar, Lo-Ruamá. Qual destes não é filho do profeta Oseias?;5;B;-;-;-;N;
