pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
"Qual jogador recebeu o apelido de ""O Anjo das Pernas Tortas""?";4;Garrincha;Ademir da Guia;Zico;Nilton Santos;N
Marisa Monte, Arnaldo Antunes e Carlinhos Brown formam qual grupo musical?;4;Tribalistas;O Rappa;Tihuana;Los Hermanos;N
Bolívia, Colômbia, Uruguai. Qual país sul-americano tem duas capitais?;5;A;-;-;-;N
Casa Rosada, Casa Branca, Palácio do Planalto. Onde fica o chamado Salão Oval?;5;B;-;-;-;N
Falcão, Gérson, Tostão. Quem interrompeu a carreira devido a um deslocamento de retina?;5;C;-;-;-;N
4983, 5003, 5784. Em que ano estamos atualmente pelo calendário judeu?;5;C;-;-;-;N
Capricórnio, Libra, Aquário. Qual o signo do presidente Lula?;5;B;-;-;-;N
Páris, Menelau, Heitor. Quem matou Aquiles, personagem da mitologia grega?;5;A;Páris;Páris;Páris;N
Vênus, Marte, Netuno. Qual foi o último planeta a ser descoberto?;5;C;-;-;-;N
Qual ator interpretou o personagem Garibaldo no programa infantil Vila Sésamo?;3;Laerte Morrone;Armando Bogus;Paulo José;-;N
Em qual destes lugares não existem pinguins?;3;Ártico;Antártica;África do Sul;-;N
Qual atriz foi indicada ao Oscar por estrelar o filme Moulin Rouge?;3;Nicole Kidman;Michelle Pfeiffer;Kim Basinger;-;N
Como eram chamados os antigos governantes da Rússia?;3;Czares;Kaisers;Imperadores;-;N
Os personagens Jonathan e Jennifer Hart faziam parte de qual seriado de TV?;3;Casal 20;A Gata e o Rato;Super-Homem;-;N
Santa Maria, Pinta e Nina eram caravelas de qual navegador?;3;Cristóvão Colombo;Américo Vespúcio;Vasco da Gama;-;N
Qual é o sinônimo de fraude?;3;Falcatrua;Falha;Perdão;-;N
"Em que cidade se localiza a ""Rua 24 Horas""?";3;Curitiba;São Paulo;Porto Alegre;-;N
O ator Arnold Schwarzenegger foi governador de qual estado americano?;4;Califórnia;Texas;Virgínia;Flórida;N
Qual destes atores não foi um dos Irmãos Coragem?;4;Francisco Cuoco;Tarcísio Meira;Cláudio Marzo;Cláudio Cavalcanti;N
Em que mês nasceu o tenista Gustavo Kuerten?;4;Setembro;Fevereiro;Junho;Janeiro;N
Marcelo Fromer pertenceu a qual banda de rock?;4;Titãs;Skank;Paralamas;Barão Vermelho;N
Qual o nome da cirurgia para retirada de parte da mama?;4;Mastectomia;Citoscopia;Mamografia;Colostomia;N
O balé Bolshoi é originário de qual país?;4;Rússia;Polônia;Alemanha;Áustria;N
"O filme ""Gladiador"" foi vencedor de quantas estatuetas do Oscar?";4;5;4;6;7;N
Quantos gols o Rei Pelé marcou com a camisa da Seleção Brasileira, incluindo jogos oficiais e amistosos?;4;95 gols;150 gols;49 gols;1000 gols;N
Qual era a comida dos deuses do Olimpo?;4;Ambrosia;Mel;Olivas;Leite;N
"Hitler, Napoleão, Júlio César. Quem usou as palavras ""Vim, vi e venci""?";5;C;Júlio César;Júlio César;Júlio César;N
Roma, Nápoles, Florença. Onde está a estátua de Davi, de Michelângelo?;5;C;-;-;-;N
Árabe, Chinês ou Português. O café foi bebido pela primeira vez por qual povo?;5;A;-;-;-;N
Unicórnio, Pégaso, Minotauro. Na mitologia, qual é o cavalo alado?;5;B;Pégaso;Pégaso;Pégaso;N
Equador, Espanha, Chile. O arquipélago de Galápagos pertence a qual país?;5;A;Equador;A;A;N
"Ferreira Gullar, Dias Gomes, Graciliano Ramos. Quem escreveu ""Memórias do Cárcere""?";5;C;Graciliano Ramos;Graciliano Ramos;Graciliano Ramos;N
Mara Gabrilli, Felício Ramuth ou Rodrigo Garcia. Quem é o vice-governador de São Paulo?;5;B;-;-;-;N
Glória Pires, Giulia Gam, Sílvia Pfeifer. De quem Nicholas e Emanuella são filhos?;5;C;-;-;-;N
Onde nasceu Pablo Picasso?;3;Espanha;Portugal;Itália;-;N
Que nome tem a calça folgada presa no tornozelo que é traje típico da região dos Pampas?;3;Bombacha;Poncho;Gibão;-;N
Quem é a atual ministra da Cultura?;3;Margareth Menezes;Preta Gil;Alcione;-;N
Qual era o papel usado pelos egípcios antigos?;3;Papiro;Marché;Acetato;-;N
Qual era o nome do grupo que cantava com Rita Lee no começo de sua carreira?;3;Os Mutantes;Os Incríveis;Tropicália;-;N
Qual destas frutas não é cítrica?;3;Melão;Morango;Laranja;-;N
"Quem interpretou ""Sinhozinho Malta"" na novela Roque Santeiro?";3;Lima Duarte;José Wilker;Paulo Gracindo;-;N
Qual destes filmes ganhou o Oscar de melhor filme?;3;Rocky;Rambo;Predador;-;N
Qual é a maior artéria do corpo?;3;Aorta;Carótida;Safena;-;N
Qual o nome do time de futebol em que jogaram juntos Pelé e Beckenbauer?;4;Cosmos;Jets;Lakers;Yankees;N
"Qual atriz interpreta a ""Rubi"" na novela Kubanacan?";4;Carolina Ferraz;Betty Lago;Danielle Winits;Adriana Esteves;N
"Quem dirigiu o filme ""Coração Valente""?";4;Mel Gibson;Martin Scorcese;Steven Spielberg;James Cameron;N
Cirrus, Cumulus e Stratus são tipos de quê?;4;Nuvens;Árvores;Pedras;Vírus;N
Qual personagem infantil se recusa a crescer e virar adulto?;4;Peter Pan;Cinderela;Pinóquio;O Pequeno Príncipe;N
"Quem é um dos autores da música ""Asa Branca""?";4;Luiz Gonzaga;Dominguinhos;Sivuca;Tom Zé;N
Quem é o sobrinho do humorista Chico Anysio?;4;Marcos Palmeira;Murilo Rosa;Thiago Fragoso;Thiago Lacerda;N
Qual é o sinônimo de indulto?;4;Perdão;Crime;Insulto;Vulto;N
Damasco, Tibéria ou Beirute. Qual é a capital da Síria?;5;A;-;-;-;N
Silicone, Látex ou Siriguela. O que é retirado da seringueira?;5;B;-;-;-;N
Com que idade Mozart escreveu sua primeira obra?;3;5 anos;10 anos;15 anos;-;N
Zinédine Zidane foi campeão mundial de futebol por qual seleção?;3;França;Itália;Camarões;-;N
"Quem escreveu o conto ""O Homem que sabia Javanês""?";3;Lima Barreto;Machado de Assis;José de Alencar;-;231
"No Rio Grande do Sul, a palavra ""prenda"" é sinônimo de quê?";3;Namorada;Botas;Perfume;-;N
Em que cidade Santos Dumont voou com o 14-Bis pela primeira vez?;3;Paris;Roma;Londres;-;213
Como são conhecidos os soldados das Forças de Paz da ONU?;3;Boinas Azuis;Boinas Brancas;Boinas Verdes;-;N
"Quem interpretou Capitão Rodrigo em ""O Tempo e o Vento"", da extinta TV Excelsior?";3;Carlos Zara;Tarcísio Meira;Paulo Autran;-;N
A doença conhecida como escorbuto é causada pela carência de qual vitamina?;4;Vitamina C;Vitamina B;Vitamina A;Vitamina D;3214
A Guarânia é um estilo musical original de qual país?;4;Paraguai;Argentina;Uruguai;Equador;N
Abelim Maria da Cunha é o verdadeiro nome de qual cantora?;4;Ângela Maria;Marlene;Emilinha Borba;Dalva de Oliveira;N
"Qual cidade é conhecida como a ""Capital Mundial dos Diamantes""?";4;Antuérpia;Paris;Joanesburgo;Londres;N
"No quadro humorístico ""Primo Rico, Primo Pobre"", quem interpretava o Primo Rico?";4;Paulo Gracindo;Brandão Filho;Ary Leite;Grande Otelo;N
Em que ano Charles Chaplin criou o personagem Carlitos?;4;1914;1917;1920;1926;N
"Quem escreveu o livro ""Capitães da Areia""?";4;Jorge Amado;Rachel de Queiroz;Ariano Suassuna;Zélia Gattai;N
Quantos filmes os Trapalhões Didi, Dedé, Mussum e Zacarias fizeram juntos?;4;22;20;15;24;N
Qual destas bebidas tem o maior teor de álcool?;4;Whisky;Vodca;Cerveja;Vinho;N
Brasília, Rio de Janeiro ou São Paulo. Em que cidade fica a sede da Petrobrás?;5;B;-;-;-;N
"Dante, Molière ou William Shakespeare. Quem escreveu a peça ""A Megera Domada""?";5;C;-;-;-;N
Corações, Losangos ou Trevos. Que desenho tem o naipe de Copas?;5;A;Corações;A;A;N
Maneta, Manco, Cego de um Olho. Qual era a particularidade física do poeta Luís de Camões?;5;C;Cego de um olho;C;C;N
Napoleão, Ricardo III, Alexandre o Grande. Quem tinha um cavalo chamado Bucéfalo?;5;C;-;C;C;N
1907, 1912, 1914. Em que ano começou a Primeira Guerra Mundial?;5;C;1914;C;C;N
Irã, Iraque, Arábia Saudita. A antiga Mesopotâmia é atualmente qual país?;5;B;Iraque;B;B;N
Numa Pompílio, Júlio César ou Carlos Magno. Quem determinou que o ano tivesse 365 dias?;5;B;-;-;-;N
"Quem criou a expressão ""Cortina de Ferro""?";3;Winston Churchill;Josef Stálin;John Kennedy;-;N
"Quantos filhos tinha o Capitão von Trapp no filme ""A Noviça Rebelde""?";4;7 filhos;3 filhos;10 filhos;5 filhos;N
O que significa judô?;4;Caminho suave;Caminho de pedra;Habilidade de luta;Luta de chão;N
A atriz Sônia Braga nasceu em que estado brasileiro?;4;Paraná;Bahia;Rio de Janeiro;São Paulo;N
Qual país é o maior produtor de leite de vaca do mundo?;4;Índia;Estados Unidos;Rússia;Brasil;N
No seriado de TV, qual é a profissão do marido da feiticeira Samantha?;4;Publicitário;Médico;Corretor;Astronauta;N
Qual foi o primeiro presidente a tomar posse em Brasília?;4;Jânio Quadros;Juscelino Kubitschek;João Goulart;Castelo Branco;N
Câncer, Áries, Sagitário. O carneiro é símbolo de qual signo do zodíaco?;5;B;Áries;B;B;N
Vitiligo, Reumatismo ou Diabetes. Que doença Luiza Brunet sofre desde criança?;5;A;-;-;-;N
Copenhague, Helsinque, Oslo. Qual a capital da Finlândia?;5;B;Helsinque;Helsinque;Helsinque;N
Suez, Mancha, Panamá. Qual é o nome do canal que separa França e Inglaterra?;5;B;Mancha;Mancha;Mancha;N
Vicente Pinzón, Hernán Cortés ou Francisco Pizarro. Quem descobriu o Rio Amazonas?;5;A;-;-;-;N
Vanessa Menga, Patrícia Medrado, Maria Esther Bueno. Quem é considerada a maior tenista brasileira de sempre?;5;C;Maria Esther Bueno;-;-;N
Mãos, Pés, Coluna Vertebral. Em que parte do corpo humano ficam 25% dos ossos?;5;B;Pés;B;B;N
Qual personagem dos desenhos animados completou 85 anos em 2023?;3;Pernalonga;Pica-Pau;Mickey;-;312
Onde nasceu o ator Anthony Quinn?;3;México;Estados Unidos;Grécia;-;231
Qual destes peixes vive em águas frias?;3;Truta;Carpa;Tilápia;-;231
"Que presidente russo promoveu a ""Perestroika""?";3;Mikhail Gorbachev;Boris Yéltsin;Vladimir Putin;-;312
Onde nasceu o compositor Mozart?;3;Áustria;Alemanha;França;-;N
Com quantos anos morreu o ator Paulo Autran?;3;85 anos;80 anos;75 anos;-;N
Que ator interpretou o personagem de novela Beto Rockfeller?;4;Luís Gustavo;Carlos Zara;John Herbert;Tony Ramos;2314
Qual foi a primeira cidade fundada pelos europeus na América?;4;Santo Domingo;São Vicente;Havana;Recife;2134
"No filme ""60 segundos"", com Nicolas Cage, que carro se chama Eleonora?";4;Mustang;Porsche;Ferrari;Mercedes;1243
Qual é a única seleção de futebol que participou de todas as Copas do Mundo?;4;Brasileira;Alemã;Inglesa;Italiana;3241
O sangue humano é filtrado em que órgão?;4;Rim;Coração;Pulmão;Fígado;N
Quantos anos no total teve a carreira da atriz Glória Menezes?;4;57;60;53;62;N
"Roma, Londres ou Paris. Que cidade é conhecida como ""Cidade-Luz""?";5;C;-;-;-;N
62, 63 ou 64. Em que ano John Kennedy foi assassinado?;5;B;-;-;-;N
Com quem a atriz Carolina Dieckmann foi casada?;3;Marcos Frota;Marcos Palmeira;Marcos Paulo;-;N
"No filme ""O Guarda-Costas"", que cantora forma par romântico com o ator Kevin Costner?";3;Whitney Houston;Janet Jackson;Diana Ross;-;N
O que é um Stradivarius?;3;Violino;Diamante;Quadro;-;N
A vacina BCG previne qual doença?;3;Tuberculose;Sarampo;Tétano;-;N
Qual ator se chama Ariclenes Venâncio Martins?;3;Lima Duarte;Tony Ramos;Mário Gomes;-;N
Qual a principal árvore usada na fabricação de papel?;3;Eucalipto;Palmeira;Pinheiro;-;N
"Que compositor clássico é o autor de ""As Quatro Estações""?";3;Vivaldi;Bach;Beethoven;-;N
"Que lugar é conhecido como ""Esmeralda do Atlântico""?";3;Fernando de Noronha;Recife;Salvador;-;N
"Que atriz interpretava Dulcineia Cajazeira na novela ""O Bem-Amado""?";3;Dorinha Duval;Dirce Migliaccio;Ida Gomes;-;N
Que profissão Mauricio de Sousa exercia antes de criar a Turma da Mônica?;4;Repórter policial;Professor;Feirante;Office Boy;N
"Que parte do olho é popularmente conhecida como ""menina dos olhos""?";4;Pupila;Íris;Retina;Córnea;N
Segundo a mitologia romana, Baco era deus do quê?;4;Vinho;Amor;Vento;Mares;N
"Quem é o autor de ""Os Três Mosqueteiros""?";4;Alexandre Dumas;Émile Zola;Honoré de Balzac;Victor Hugo;N
Que atriz famosa de Hollywood se tornou Princesa de Mônaco em 1956?;4;Grace Kelly;Rita Hayworth;Joan Crawford;Romy Schneider;N
Qual destas cartas não é usada em um jogo de truco?;4;6;9;Ás;Valete;N
"Qual era a fruta preferida de Garibaldo, personagem do programa infantil ""Vila Sésamo""?";4;Abacaxi;Banana;Melancia;Morango;N
Que atriz interpretou, por duas vezes, em novelas, a personagem Dona Armênia?;4;Aracy Balabanian;Lolita Rodrigues;Nicette Bruno;Glória Menezes;N
Coelho, Camundongo ou Galinha. Qual dos animais se reproduz mais rápido?;5;B;-;-;-;N
3, 4 ou 5. De quantas Olimpíadas participou Oscar Schmidt?;5;C;-;-;-;N
Que cantora se chama Maria de Fátima Palha de Figueiredo?;3;Fafá de Belém;Maria Alcina;Maria Bethânia;-;N
"Quem fez o papel de Eva Perón no filme-musical ""Evita""?";3;Madonna;Jennifer Lopez;Sharon Stone;-;N
Em que país a vaca é considerada um animal sagrado?;3;Índia;China;Coreia;-;N
Em que país Ayrton Senna venceu seu primeiro Grande Prêmio de Fórmula 1?;3;Portugal;Itália;Espanha;-;N
Quem fez sucesso na TV ao lado do ratinho Topo Gigio, no final dos anos 60?;3;Agildo Ribeiro;Jô Soares;Chico Anysio;-;N
Como se chama a arte de adivinhar o futuro lendo as linhas da mão?;3;Quiromancia;Quirologia;Quiropraxia;-;N
Paulo Roberto Falcão jogou em qual time da Itália?;3;Roma;Milan;Juventus;-;N
"Como é chamado um ""cafezinho"" em Portugal?";3;Bica;Amarguinho;Curto;-;N
"""Bum Bum Paticumbum Prugurundum"" foi o enredo de qual escola de samba?";4;Império Serrano;Mangueira;Portela;Salgueiro;N
"Qual é o nome do filho do Seu Barriga no seriado ""Chaves""?";4;Nhonho;Quico;Girafales;Seu Madruga;N
"Quem interpretava o inspetor Clouseau no filme ""A Pantera Cor-de-Rosa"", de 1963?";4;Peter Sellers;Omar Sharif;Michael Caine;David Niven;N
Qual flor é símbolo do escotismo?;4;Flor-de-lis;Rosa;Gerânio;Girassol;N
Na mitologia grega, quem é o deus dos mares?;4;Poseidon;Hermes;Zeus;Ares;N
Que nome se dá à passagem do estado gasoso para o líquido?;3;Condensação;Fusão;Vaporização;-;N
Que cantor já usou o pseudônimo de Mark Davis?;3;Fábio Júnior;Wanderley Cardoso;Reginaldo Rossi;-;N
Que espanhol famoso já jogou futebol no Real Madrid?;3;Julio Iglesias;Antonio Banderas;Pedro Almodóvar;-;N
Maurício Mattar, Alexandre Frota ou Marcelo Serrado. Quem foi marido de Cláudia Raia?;5;B;-;-;-;-
"Que apresentador ficou famoso pela frase ""Boa noite, Brasil""?";4;Flávio Cavalcanti;Raul Gil;Chacrinha;Blota Júnior;N
Diana, Chita ou Jane. Quem é a mulher do Tarzan?;5;C;-;-;-;N
"No filme ""Shrek"" original, quem dubla o burro falante?";3;Eddie Murphy;Bruce Willis;John Travolta;-;N
Super-Homem, Hulk ou Batman. Quem é Bruce Wayne?;5;C;-;-;-;N
Líbia, Egito ou Marrocos. Qual país é famoso por suas pirâmides?;5;B;-;-;-;-
Roxa, Marrom ou Preta. Qual a faixa de maior graduação no karatê?;5;C;Preta;C;C;N
Ruy Guerra, Gláuber Rocha ou Bruno Barreto. A atriz Leila Diniz teve uma filha com qual cineasta?;5;A;-;-;-;-
Ruy Barbosa, Machado de Assis ou Mário de Andrade. Quem foi o primeiro presidente da Academia Brasileira de Letras?;5;B;-;-;-;-
Maranhão, Sergipe ou Alagoas. Em que estado surgiu o Quilombo dos Palmares?;5;C;-;-;-;N
242, 275 ou 342. As cataratas do Iguaçu têm quantas quedas?;5;B;-;-;-;-
Qual é a fruta predileta da Magali, da Turma da Mônica?;3;Melancia;Maçã;Pera;-;N
"Qual é a origem da palavra ""sutiã""?";3;Francesa;Americana;Italiana;-;N
Que sistema é afetado pela meningite?;3;Nervoso;Sanguíneo;Respiratório;-;N
A ioga é originária de que país?;4;Índia;Indonésia;Japão;China;N
Como é conhecido o camarão de água doce?;4;Pitu;Piaba;Calamar;Lagostim;N
Quantas pernas tem uma barata?;4;6;4;8;10;N
Onde surgiu o futevôlei?;4;Rio de Janeiro;Santos;Florianópolis;Salvador;N
De que parte do boi é tirado o filé mignon?;4;Costas;Barriga;Traseiro;Pescoço;N
Qual é o nome da escola de Harry Potter?;4;Hogwarts;Python;Oxford;Cambridge;N
Quem era o prefeito da cidade de Nova York quando ocorreram os atentados de 11 de setembro?;4;Rudolph Giuliani;Tony Blair;Michael Bloomberg;Jeff Bush;N
Macaco, Zebra ou Leão. Que bicho é associado ao Imposto de Renda?;5;C;-;-;-;N
48, 50, 52. O baralho comum tem quantas cartas?;5;C;-;-;-;N
Japão, China, Índia. Em qual país ocorreu o Massacre da Praça da Paz Celestial?;5;B;-;-;-;N
Feelings, Don't Let Me Down, Pretty Woman. Morris Albert é o autor de que música?;5;A;-;-;-;N
Christina Moutinho, Christina Oiticica, Christina Bueno. Qual é o nome da mulher do escritor Paulo Coelho?;5;B;-;-;-;N
Zeus, Apolo ou Hermes. Quem representava Mercúrio na mitologia grega?;5;C;-;-;-;N
Curdo, Árabe ou Persa. Qual é o idioma oficial do Irã?;5;C;-;-;-;N
Nepal, Mianmar ou Laos. Birmânia é o nome antigo de qual país?;5;B;-;-;-;N
9, 10 ou 11. Quantos jogadores de cada time disputam uma partida de futebol americano?;5;C;-;-;-;N
Inglaterra, Estados Unidos ou Alemanha. Em que país foi inventado o automóvel?;5;C;-;-;-;N
4, 5 ou 6. Quantos continentes tem a Terra?;5;C;-;-;-;N
Divino, Zizinho ou Vavá. Qual era o apelido de Ademir da Guia?;5;A;-;-;-;N
8, 9 ou 10. Quantos planetas existem no nosso Sistema Solar?;5;A;-;-;-;N
Benetton, Jordan ou Jaguar. Em que equipe Rubens Barrichello ingressou na Fórmula 1?;5;B;-;-;-;N
San Marino, Mônaco ou Liechtenstein. Qual país tem a menor área?;5;B;-;-;-;N
Tanzânia, Angola, Marrocos. Onde fica o monte Kilimanjaro?;5;A;Tanzânia;A;A;N
Van Gogh, Gauguin, Monet. Que pintor cortou sua própria orelha?;5;A;Van Gogh;A;A;N
1779, 1789 ou 1799. Em que ano aconteceu a queda da Bastilha, na França?;5;B;-;-;-;N
Sarampo, Pneumonia ou Tuberculose. Que doença é causada pelo bacilo de Koch?;5;C;-;-;-;N
Veneza, Roma, Gênova. Em que cidade nasceu Cristóvão Colombo?;5;C;Gênova;Genova;Genoa;N
Mil, dez mil, cem mil. Quantos metros quadrados tem um hectare?;5;B;Dez mil;Dez mil;Dez mil;N
Thomas Jefferson, Benjamin Franklin ou George Washington. Quem está na nota de 1 dólar?;5;C;-;-;-;N
O doce brigadeiro é originário de qual país?;4;Brasil;Alemanha;Suíça;Itália;N
Qual o nome do programa que Elis Regina apresentou na Record na década de 60?;4;O Fino da Bossa;Show da Pimentinha;Bossa Nova;Jovem Guarda;N
Um casal que vive 50 anos comemora que tipo de boda?;3;Ouro;Rubi;Diamante;-;N
Cleópatra, Brutus ou Nero. Quem matou o imperador Júlio César?;5;B;-;-;-;N
5, 6 ou 7. Quantos tipos de peças tem no jogo de xadrez?;5;B;-;-;-;N
Carolina de Mônaco, Charlotte de Mônaco ou Vitória da Suécia. Que princesa europeia teve anorexia?;5;C;-;-;-;N
4, 5 ou 6. Com quantos anos morreu a ovelha Dolly?;5;C;-;-;-;N
Advogada, Arquiteta ou Psicóloga. Qual é a profissão de Viviane Senna?;5;C;-;-;-;N
Hélios, Poseidon ou Dionísio. O Colosso de Rodes era a estátua de qual deus grego?;5;A;-;-;-;N
Alemanha, Áustria ou Inglaterra. Onde nasceu Claudia Schiffer?;5;A;-;-;-;N
14, 17 ou 18. Quantos nomes tinha Dom Pedro I?;5;B;-;-;-;N
Libra, Euro ou Dólar. Qual a moeda oficial da União Europeia?;5;B;-;-;-;N
Xangai, Pequim ou Hong Kong. Qual a maior cidade chinesa?;5;A;-;-;-;N
1943, 1945, 1951. Em que ano a ONU foi criada?;5;B;-;-;-;N
"Pernambuco, Maranhão ou Sergipe. Que estado é conhecido como ""Leão do Norte""?";5;A;-;-;-;N
Excelsior, Record ou Tupi. Qual foi a primeira emissora de TV inaugurada no Brasil?;5;C;-;-;-;N
Paris, Bruxelas ou Londres. Onde fica a sede da OTAN?;5;B;-;-;-;N
23, 24 ou 25. Quantas provas serão realizadas no Campeonato de Fórmula 1 de 2024?;5;B;-;-;-;N
5, 7 ou 9. A atmosfera terrestre tem quantas camadas distintas?;5;A;-;-;-;N
Fígado, Pâncreas ou Rim. Que órgão produz a insulina?;5;B;-;-;-;N
Geólogo, Arqueólogo, Agrônomo. Qual é a profissão de Indiana Jones?;5;B;-;-;-;N
Europa, Ásia ou África. Qual é o continente mais populoso do mundo?;5;B;-;-;-;N
9, 12 ou 15. Quantos astronautas já pisaram na Lua até hoje?;5;B;-;-;-;N
Perugia, Roma ou Milão. Onde nasceu a atriz Giulia Gam?;5;A;-;-;-;N
Arkansas, Tennessee ou Virgínia. Bill Clinton foi governador de qual estado americano?;5;A;-;-;-;N
Neologia, Neurologia, Noologia. Que ciência estuda a mente?;5;C;-;-;-;N
